발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2020-12-18 13:23,12,13,부산,항계 내,35 | 2 | 25,128 | 59 | 10,양호,정비불량,추진기손상,1,3,3,0,0,0,모터보트,2.35
2020-12-18 12:20,12,12,서귀포,영해,33 | 10 | 0,126 | 15 | 0,양호,정비불량,기관손상,1,8,8,0,0,0,낚시어선,4.98
2020-12-18 08:39,12,08,서귀포,영해-EEZ,33 | 4 | 60,127 | 34 | 60,양호,운항부주의,부유물감김,1,9,9,0,0,0,어선,29
2020-12-18 04:00,12,04,창원,영해,35 | 3 | 16,128 | 42 | 39,양호,운항부주의,충돌,1,17,17,11,0,0,낚시어선,9.77
2020-12-18 04:00,12,04,창원,영해,35 | 3 | 16,128 | 42 | 39,양호,운항부주의,충돌,1,2,2,0,0,0,예부선,1758
2020-12-18 00:13,12,00,목포,영해,33 | 53 | 1,125 | 19 | 21,양호,정비불량,키손상,1,13,13,0,0,0,어선,45
2020-12-17 21:07,12,21,부산,영해,35 | 4 | 60,129 | 43 | 0,양호,정비불량,기관손상,1,112,112,0,0,0,어선,7765
2020-12-17 20:30,12,20,포항,영해-EEZ,36 | 58 | 59,133 | 4 | 0,양호,정비불량,기관손상,1,9,9,0,0,0,어선,40
2020-12-17 16:40,12,16,인천,영해,37 | 23 | 29,126 | 44 | 12,양호,운항부주의,충돌,1,5,5,5,0,0,어선,9.16
2020-12-17 16:40,12,16,인천,영해,37 | 23 | 29,126 | 44 | 12,양호,운항부주의,충돌,1,5,5,1,0,0,어선,7.93
2020-12-17 16:18,12,16,군산,영해,35 | 52 | 0,126 | 22 | 6,양호,운항부주의,부유물감김,1,3,3,0,0,0,기타,17
2020-12-17 15:07,12,15,속초,영해,38 | 12 | 16,128 | 36 | 39,양호,정비불량,추진기손상,1,2,2,0,0,0,요트,3.67
2020-12-17 13:21,12,13,목포,협수로,34 | 49 | 38,126 | 19 | 28,양호,정비불량,기관손상,1,1,1,0,0,0,어선,3.93
2020-12-17 10:56,12,10,동해,항계 내,37 | 32 | 57,129 | 7 | 0,양호,관리소홀,좌초/좌주,1,0,0,0,0,0,어선,9.77
2020-12-17 08:40,12,08,목포,항계 내,34 | 47 | 8,126 | 20 | 21,양호,정비불량,기관손상,1,12,12,0,0,0,어선,37
2020-12-17 08:12,12,08,부안,항계 내,35 | 37 | 11,126 | 28 | 4,양호,관리소홀,표류,1,0,0,0,0,0,어선,1.79
2020-12-17 05:41,12,05,울산,영해,35 | 35 | 11,129 | 34 | 9,양호,정비불량,기관손상,1,3,3,0,0,0,어선,9.77
2020-12-16 15:45,12,15,창원,영해,34 | 58 | 1,128 | 35 | 34,양호,정비불량,기관손상,1,3,3,0,0,0,유조선,133
